token_address,n_syncs,WETH,prices,liquidity,num_transactions,n_unique_addresses,tx_curve,mints,burns,difference_token_pool,label,fraud_type
0xdd974d5c2e2928dea5f71b9825b8b646686bd200,56.0,96.59253141842373,0.0030503440414544345,3058709.7714297445,1155,729,1.0,16,0,5827049,1,none
0xa9fbb83a2689f4ff86339a4b96874d718673b627,10.0,2.640574232584517,5.4643752287888304e-08,127601637.62280254,29,21,1.0,3,0,249969,1,none
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,85.0,394.2949494610852,45.04276442716808,3451.575611481498,941,234,1.0,29,1,3324813,1,none
0x1beef31946fbbb40b877a72e4ae04a8d1a5cee06,12.0,3.283241410756914,1.2324695030171785e-06,8746402.353096442,55,40,1.0,5,0,5017619,1,none
0x08d967bb0134f2d07f7cfb6e246680c53927dd30,31.0,52.26200425171547,0.000815263902282869,3350224.4865229554,64,31,1.0,3,0,1485099,1,none
0xcc0168bd7dc5a3dc2310bc47004114687485f632,8.0,2e-18,2.8284262494926514e-06,1.4142140000000001e-30,9,6,1.0,1,1,25,0,liquidity_stealing
0x7a64595a3051d345d06cea3d36470415090ac92d,11.0,0.006892507854847357,9.414399580173182e-10,50461.704035998235,11,10,1.0,1,0,20,0,dumping
0x52590e6f7cc7d9620c7376cc926f0fa6617d2957,3.0,0.8595507035050871,0.4085939548411881,1.808219145540851,3,2,1.0,3,0,1258359,0,liquidity_stealing
0xd1e47a365800e57ac60e68ed15fb901d348c24bd,15.0,8.39657e-13,419828.49999999994,1.679314e-30,22,14,0.9403014280457092,1,1,48,0,liquidity_stealing
0x59252aca25e8b09704fd24aad67a3f2ab19b9a09,26.0,1e-18,8.570559271845285e-07,1.166785e-30,30,16,0.9983497957902983,1,1,15,0,liquidity_stealing
0x164e07ae48ca7774663e90732d44b324f2e3c679,7.0,0.35392231323542805,8.848057830885701e-05,1415.6892529417123,11,7,1.0,1,0,3548249,1,none
0xf2fac5ca2ea83c680f4a25917626a433c7abacef,9.0,1e-18,9.761544979246956e-07,1.024428e-30,13,12,0.6215841884659062,1,1,17,0,liquidity_stealing
0x87b3c4f82cbcc0332cc00c72538d6c4d6eb5ae23,21.0,1e-18,2.9326605419028803e-07,3.409873e-30,24,15,0.9213105944111863,1,1,15,0,liquidity_stealing
0xc7f6579e18f41c6507e86c211a505f5a2e98b8ad,74.0,0.07469957738957726,4.0844816034505165e-08,136615.3016203454,77,29,0.9572392012703659,5,2,108,1,none
0x67478bcddb2566e630b3b037490653412b9167a2,30.0,2e-18,3.470703789314397e-06,1.1525040000000001e-30,105,75,0.3344778864375785,1,1,359,0,liquidity_stealing
0xb2cf3a438acf46275839a38db7594065f64151d3,2.0,0.11022599115454922,1.9153979456841334e-08,634320.8811192058,232,144,1.0,1,0,705077,1,none
0x23996b50edc117c51c3c7176cfcb603c346e992e,197.0,1.294786716717539,5.07477098690122e-07,3303543.4428773704,260,69,0.45710290652665336,6,4,72,1,none
0x0000000000004946c0e9f43f4dee607b0ef1fa1c,20.0,0.4452335465180399,750815424145092.6,2.6402349308519764e-16,125,26,0.13483620507915942,6,0,407,1,none
0xbd6467a31899590474ce1e84f70594c53d628e46,13.0,4e-18,1.3039042151963518e-05,1.227084e-30,4341,931,1.0,2,1,663779,1,none
0x18a4979bbb4c88275d4575d66b9c9cd6bea0cd5e,1635.0,64.56702731756505,4.848341116841875e-06,859861324.9685576,1661,447,1.0,13,4,1972,0,liquidity_stealing
0x265ba42daf2d20f3f358a7361d9f69cb4e28f0e6,1386.0,375.04709840618443,0.0003299149625806724,426353278.80439264,1148,326,1.0500865127351386,10,1,0,0,liquidity_stealing
0xfbf1e2c2a05ab39538cc0cd8edd65cfb5ee56829,9.0,2e-18,2.497536804326733e-06,1.601578e-30,12,9,1.0,1,1,6,0,liquidity_stealing
0x97215b40e454b435d2871c9a74e9939133a58089,6.0,3.25682e-12,3256819.9999999995,3.25682e-30,12,8,0.9942474983359701,1,1,188,0,liquidity_stealing
0x427d5ddc79490fdf91b3cddcc2729a995d1d6156,7.0,1e-18,2.906479094131848e-07,3.440589e-30,8,6,1.0,1,1,102,0,liquidity_stealing
